units,unit_count
EA,4653
,3681
200g,2722
500g,2409
400g,2259
100g,1998
300g,1941
454g,1819
340g,1726
250g,1584
1l,1500
150g,1377
500ml,1300
170g,1101
375g,1085
450g,1041
600g,1037
750g,1028
227g,943
1kg,919
473ml,851
355ml,820
250ml,794
350g,776
946ml,754
2l,742
175g,715
PK,680
120g,676
907g,674
650g,661
900g,656
398ml,640
180g,639
240g,610
125g,575
750ml,526
540ml,514
1ea,502
800g,497
50g,497
1.89l,490
320g,486
1.5l,475
680g,473
85g,472
142g,467
700g,422
425g,412
280g,407
225g,396
80g,381
210g,365
2kg,353
350ml,352
160g,349
90g,348
284ml,340
40g,335
140g,335
360g,330
375ml,321
113g,314
220g,301
LB,299
1un,291
60g,290
284g,288
255g,287
400ml,283
75g,268
283g,266
675g,264
156g,262
1.75l,260
70g,253
550g,251
198g,248
6 Each,246
450ml,245
796ml,243
270g,241
Current price: EA,239
1 Each,238
275g,231
325g,230
200ml,230
850g,229
130g,229
300ml,226
12x355.0ml,224
1.54l,217
12 Each,216
908g,213
650ml,209
480g,205
235g,205
540g,202
380g,198
260g,196
425ml,193
190g,184
330g,183
591ml,182
410g,182
48ml,178
312g,174
12x355ml,172
165g,171
4 Each,170
30g,169
155g,168
4l,166
35g,165
110g,165
510g,164
BX,160
45g,157
28g,155
420g,153
135g,151
226g,148
12un,148
710ml,147
680ml,147
230g,147
20ea,145
1.36kg,144
397g,143
145g,143
1.5kg,141
473 Millilitre,140
341ml,138
900ml,136
65g,136
Bulk100g,135
390g,135
141g,135
$6.59/1kg $2.99/1lb,135
24g,134
25g,133
168g,133
560g,132
285g,131
475ml,130
325ml,130
Current price: LB,129
EA,127
12ea,126
12 x 355ml,124
414ml,123
32g,122
30ea,122
398 Millilitre,119
368g,119
355 Millilitre,118
128g,117
20un,116
1 Litre,114
336g,113
1.2kg,113
567g,112
$8.80/1kg $3.99/1lb,112
500 Millilitre,111
1 piece,111
42g,110
3l,110
1.81kg,110
946 Millilitre,109
60ea,109
515ml,109
640g,108
700ml,105
228g,105
10un,105
1.36l,105
1 per tray,105
